username,user_id,likes,retweets,replies,quotes,engagement_value,success_score,performance,performance_encoded,tweet_length,word_count,hashtag_count,mention_count,url_count,emoji_count,caps_ratio,has_question,has_exclamation,has_ellipsis,day_of_week,hour,month,is_weekend,is_business_hours,is_peak_hours,days_since_last_tweet,sentiment_polarity,is_positive,is_negative,is_neutral,total_interactions,like_to_retweet_ratio,retweet_ratio,reply_ratio,like_ratio
holy_moses7,1594141391357108224,0,0,0,0,0,0.0,Underperformed,0,29,3,0,1,0,0,0.20689655172413793,0,0,0,6,0,2,1,0,0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
CarOnPolymarket,1966325768499376131,2,0,1,0,4,0.0,Underperformed,0,84,11,0,1,1,0,0.11904761904761904,1,0,0,6,0,2,1,0,0,0.0,0.24444444444444446,1,0,0,3,2.0,0.0,0.3333333333333333,0.6666666666666666
CarOnPolymarket,1966325768499376131,3,0,1,0,5,5.777777777777778,Viral,3,71,9,0,1,1,0,0.09859154929577464,1,0,0,6,0,2,1,0,0,0.0,0.5666666666666667,1,0,0,4,3.0,0.0,0.25,0.75
Maximilian_evm,1943319550730326016,5,0,0,0,5,0.6666666666666666,Underperformed,0,47,3,0,2,1,0,0.1276595744680851,0,0,0,6,0,2,1,0,0,0.0,0.0,0,0,1,5,5.0,0.0,0.0,1.0
CarOnPolymarket,1966325768499376131,200,7,49,7,312,4.133333333333334,Viral,3,191,28,0,0,2,0,0.07853403141361257,0,0,0,6,0,2,1,0,0,0.0,0.4,1,0,0,256,28.571428571428573,0.02734375,0.19140625,0.78125
holy_moses7,1594141391357108224,7,0,1,0,9,5.222222222222222,Viral,3,35,4,0,1,0,0,0.11428571428571428,0,0,0,6,1,2,1,0,0,0.0,0.0,0,0,1,8,7.0,0.0,0.125,0.875
MEPPonPM,1977097546725228544,11,0,4,0,19,2.6285714285714286,Viral,3,304,49,0,0,1,0,0.07894736842105263,1,0,1,6,1,2,1,0,0,0.0,0.15694444444444444,1,0,0,15,11.0,0.0,0.26666666666666666,0.7333333333333333
MEPPonPM,1977097546725228544,0,0,0,0,0,1.7692307692307692,Successful,2,52,3,0,2,1,0,0.11538461538461539,0,0,0,6,1,2,1,0,0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
MEPPonPM,1977097546725228544,1,0,0,0,1,0.0,Underperformed,0,60,7,0,3,0,0,0.05,1,0,0,6,1,2,1,0,0,0.0,-0.6,0,1,0,1,1.0,0.0,0.0,1.0
MEPPonPM,1977097546725228544,0,0,0,0,0,0.038461538461538464,Underperformed,0,86,12,0,2,0,0,0.03488372093023256,1,0,0,6,1,2,1,0,0,0.0,0.2,1,0,0,0,0.0,0.0,0.0,0.0
penguin_pmkt,1971222411107500039,3,0,1,0,5,4.514285714285714,Viral,3,115,20,0,1,0,1,0.0,1,0,0,6,1,2,1,0,0,0.0,0.8,1,0,0,4,3.0,0.0,0.25,0.75
outcomenoble,1932783361396748288,2,0,1,0,4,150.0,Viral,3,53,5,0,3,0,0,0.09433962264150944,1,0,0,6,1,2,1,0,0,0.0,0.0,0,0,1,3,2.0,0.0,0.3333333333333333,0.6666666666666666
outcomenoble,1932783361396748288,0,15,0,0,30,5.719298245614035,Viral,3,120,17,0,2,1,0,0.1,0,0,0,6,1,2,1,0,0,0.0,0.52,1,0,0,15,0.0,1.0,0.0,0.0
CarOnPolymarket,1966325768499376131,323,13,33,3,415,2.193548387096774,Viral,3,184,30,0,0,1,0,0.09782608695652174,0,0,0,6,2,2,1,0,0,0.0,0.020833333333333315,0,0,1,369,24.846153846153847,0.03523035230352303,0.08943089430894309,0.8753387533875339
Maximilian_evm,1943319550730326016,9,0,0,0,9,0.7792207792207793,Underperformed,0,39,5,0,1,0,1,0.10256410256410256,0,0,0,6,2,2,1,0,0,0.0,0.5,1,0,0,9,9.0,0.0,0.0,1.0
CarOnPolymarket,1966325768499376131,10,0,0,0,10,0.06451612903225806,Underperformed,0,52,9,0,1,0,0,0.07692307692307693,0,0,0,6,2,2,1,0,0,0.0,0.0,0,0,1,10,10.0,0.0,0.0,1.0
Maximilian_evm,1943319550730326016,1,0,0,0,1,1.1147540983606556,Normal,1,53,3,0,2,1,0,0.1320754716981132,0,0,0,6,2,2,1,0,0,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
locksy,1690477851638730752,23,0,2,0,27,0.0,Underperformed,0,89,10,0,0,2,0,0.14606741573033707,0,0,0,6,2,2,1,0,0,0.0,0.8,1,0,0,25,23.0,0.0,0.08,0.92
CarOnPolymarket,1966325768499376131,1,0,0,0,1,5.60655737704918,Viral,3,46,6,0,2,0,0,0.06521739130434782,0,0,0,6,2,2,1,0,0,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
CarOnPolymarket,1966325768499376131,1,0,0,0,1,0.8064516129032258,Normal,1,16,2,0,1,0,0,0.25,0,0,0,6,2,2,1,0,0,0.0,0.0,0,0,1,1,1.0,0.0,0.0,1.0
penguin_pmkt,1971222411107500039,0,0,0,0,0,0.22950819672131148,Underperformed,0,70,12,0,3,0,0,0.05714285714285714,0,0,0,6,2,2,1,0,0,0.0,0.3,1,0,0,0,0.0,0.0,0.0,0.0
Maximilian_evm,1943319550730326016,9,1,0,0,11,0.09836065573770492,Underperformed,0,125,14,0,9,0,0,0.072,0,0,0,6,3,2,1,0,0,0.0,0.5,1,0,0,10,9.0,0.1,0.0,0.9
tsybka,1826161295051337729,1,0,1,0,3,0.03278688524590164,Underperformed,0,52,8,0,1,0,0,0.019230769230769232,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,2,1.0,0.0,0.5,0.5
tsybka,1826161295051337729,1,0,0,0,1,0.45901639344262296,Underperformed,0,89,12,0,1,1,0,0.11235955056179775,1,0,0,6,6,2,1,0,0,0.0,-0.3125,0,1,0,1,1.0,0.0,0.0,1.0
tsybka,1826161295051337729,4,0,1,0,6,0.36065573770491804,Underperformed,0,37,4,0,2,0,0,0.16216216216216217,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,5,4.0,0.0,0.2,0.8
tomdnc,1355869080079634435,2,0,1,0,4,0.10909090909090909,Underperformed,0,79,11,0,3,0,0,0.08860759493670886,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,3,2.0,0.0,0.3333333333333333,0.6666666666666666
tomdnc,1355869080079634435,4,0,1,0,6,0.15384615384615385,Underperformed,0,117,18,0,3,0,0,0.05982905982905983,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,5,4.0,0.0,0.2,0.8
tsybka,1826161295051337729,54,2,8,1,74,0.0,Underperformed,0,324,49,0,1,2,0,0.05864197530864197,0,0,0,6,6,2,1,0,0,0.0,-0.07916666666666666,0,0,1,64,27.0,0.03125,0.125,0.84375
MEPPonPM,1977097546725228544,0,0,0,0,0,0.0,Underperformed,0,65,4,0,3,1,0,0.1076923076923077,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,0,0.0,0.0,0.0,0.0
tsybka,1826161295051337729,2,0,0,0,2,0.2222222222222222,Underperformed,0,68,5,0,2,1,0,0.07352941176470588,0,0,0,6,6,2,1,0,0,0.0,0.0,0,0,1,2,2.0,0.0,0.0,1.0
MEPPonPM,1977097546725228544,0,0,1,0,2,22.0,Viral,3,147,22,0,2,0,0,0.1292517006802721,0,0,0,6,7,2,1,0,0,0.0,0.0,0,0,1,1,0.0,0.0,1.0,0.0
